QID,QUESTION,CORRECT ANSWER,A,B,C,D,E,F,EXPLANATION/NOTES,Snowflake Documentation,Image URL,Topic(s)
248,"When cloning a database, what is cloned with the database? (Choose two.)","B,D",Privileges on the database,Existing child objects within the database,Future child objects within the database,Privileges on the schemas within the database,Only schemas and tables within the database,,"If the source object is a database or schema, the clone inherits all granted privileges on the clones of all child objects contained in the source object:\n
-For databases, contained objects include schemas, tables, views, etc.\n
-For schemas, contained objects include tables, views, etc.\n
The clone of the container itself (database or schema) does not inherit the privileges granted on the source container.\n
For tables or views the COPY GRANT option can be used in the CREATE command to copy over the grants to the clone",https://docs.snowflake.com/en/user-guide/object-clone#access-control-privileges-for-cloned-objects,,Performance Concepts
249,What is the MINIMUM edition of Snowflake that is required to use a SCIM security integration?,B,Business Critical Edition,Standard Edition,Virtual Private Snowflake (VPS),Enterprise Edition,,,SCIM is available for ALL editions.,"https://docs.snowflake.com/en/user-guide/scim-intro, https://docs.snowflake.com/en/user-guide/admin-security",,Account Access and Security
250,Who can create network policies within Snowflake? (Choose two.),"C,E",SYSADMIN only,ORGADMIN only,A role with the CREATE NETWORK POLICY privilege,A role with the CREATE SECURITY INTEGRATION privilege,SECURITYADMIN or higher roles,,"Create a network policy\n
Only security administrators (i.e. users with the SECURITYADMIN role) or higher or a role with the global CREATE NETWORK POLICY privilege can create network policies. Ownership of a network policy can be transferred to another role\n",https://docs.snowflake.com/en/user-guide/network-policies,,Account Access and Security
251,"What is common between AWS Quicksight, PowerBI, and Tableau?",C,They are Snowflake Security & Governance Partners.,They are Snowflake Machine Learning Partners.,They are Snowflake Business Intelligence Partners.,They are Snowflake Data Integration Partners.,,,"Business intelligence (BI) tools enable analyzing, discovering, and reporting on data to help make more informed business decisions. They use dashboards, charts, or other graphical tools to deliver data visualization. We can see the Snowflake ecosystem in the following image:",https://docs.snowflake.com/en/user-guide/ecosystem-bi,,Snowflake AI Data Cloud Features and Architecture
252,"Snowflake recommends, as a minimum, that all users with the following role(s) should be enrolled in Multi-Factor Authentication (MFA):",D,"SECURITYADMIN, ACCOUNTADMIN","SECURITYADMIN, ACCOUNTADMIN, PUBLIC, SYSADMIN","SECURITYADMIN, ACCOUNTADMIN, SYSADMIN",ACCOUNTADMIN,,,,https://docs.snowflake.com/en/user-guide/security-mfa,,Account Access and Security
253,"A deterministic query is run at 8am, takes 5 minutes, and the results are cached. Which of the following statements are true? (Choose two.)","D,E",The same exact query will return the precomputed results even if the underlying data has changed as long as the results were last accessed within the previous 24 hour period,Snowflake edition is Enterprise or higher,The exact query will ALWAYS return the precomputed result set for the RESULT_CACHE_ACTIVE = time period,The same exact query will return the precomputed results if the underlying data hasn't changed and the results were last accessed within previous 24 hour period,The 24 hours timer on the precomputed results gets renewed every time the exact query is executed,,,https://docs.snowflake.com/en/user-guide/querying-persisted-results,,Performance Concepts
254,What type of columns does Snowflake recommend to be used as clustering keys? (Choose two.),"D,E",A column with very low cardinality,A VARIANT column,A column with very high cardinality,A column that is most actively used in join predicates,A column that is most actively used in selective filters,,,https://docs.snowflake.com/en/user-guide/tables-clustering-keys,,Performance Concepts
255,How is table data compressed in Snowflake?,B,The micro-partitions are stored in compressed cloud storage and the cloud storage handles compression.,Each column is compressed as it is stored in a micro-partition.,Each micro-partition is compressed as it is written into cloud storage using GZIP.,The text data in a micro-partition is compressed with GZIP but other types are not compressed.,,,Snowflake automatically determines the most efficient compression algorithm for the columns in each micro-partition.,https://docs.snowflake.com/en/user-guide/tables-clustering-micropartitions,,Performance Concepts
256,What feature of Snowflake Continuous Data Protection can be used for maintenance of historical data?,C,Fail-safe,Network policies,Time Travel,Access control,,,Snowflake Time Travel enables accessing historical data that has been changed or deleted at any point within a defined period. It is a powerful CDP (Continuous Data Protection) feature which ensures the maintenance and availability of your historical data.,https://docs.snowflake.com/en/user-guide/data-cdp,,Data Protection and Data Sharing
257,"A company’s security audit requires generating a report listing all Snowflake logins (e.g., date and user) within the last 90 days.
Which of the following statements will return the required information?",B,"SELECT LAST_SUCCESS_LOGIN, LOGIN_NAME
FROM ACCOUNT_USAGE.USERS;","SELECT EVENT_TIMESTAMP, USER_NAME
FROM ACCOUNT_USAGE.LOGIN_HISTORY;","SELECT EVENT_TIMESTAMP, USER_NAME
FROM table(information_schema.login_history_by_user())","SELECT EVENT_TIMESTAMP, USER_NAME
FROM ACCOUNT_USAGE.ACCESS_HISTORY;",,,login_history_by_user function returns login activity within the last 7 days only.,https://docs.snowflake.com/en/sql-reference/account-usage/login_history,,Data Transformations
258,What are common issues found by using the Query Profile? (Choose two.),"C,E",Identifying logical issues with the queries,Locating queries that consume a high amount of credits,Identifying inefficient micro-partition pruning,Identifying queries that will likely run very slowly before executing them,Data spilling to a local or remote disk,,,https://docs.snowflake.com/en/user-guide/ui-query-profile#statistics,,"Snowflake AI Data Cloud Features and Architecture, Performance Concepts"
259,What is the advantage of using a reader account?,A,It can be used by a client that does not have a Snowflake account,It is read-only and prevents the shared data from being updated by the provider,It provides limited access to the data share and is therefore cheaper for the data provider,It can be connected to a Snowflake account in a different region,,,,https://docs.snowflake.com/en/user-guide/ui-snowsight-private-sharing-reader-accounts,,"Data Protection and Data Sharing, Snowflake AI Data Cloud Features and Architecture"
260,In which layer of Snowflake architecture is all security-related information stored?,A,Cloud Services.,Compute.,All of the above.,Storage.,,,"The Cloud Services layer is a collection of services coordinating activities across Snowflake. It's in charge of Authentication, Infrastructure management, Metadata management, Query parsing and optimization, and Access control.",https://docs.snowflake.com/en/user-guide/intro-key-concepts#cloud-services,,Snowflake AI Data Cloud Features and Architecture
261,When can a Virtual Warehouse start running queries?,A,When its provisioning is complete,After replication,Only during administrator defined time slots,12am-5am,,,"Virtual warehouses can be configure to auto_resume=true/false, accordingly once it provision it start executing the queries.",https://docs.snowflake.com/en/user-guide/warehouses-overview,,Performance Concepts
